season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,fours,sixes,strikeRate,isNotOut,runningScore,runningOver,captain or not
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,DP Conway,Devon Conway,1,6,0,0,16.66,out, 1/ 14,2.2,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,RD Gaikwad,Ruturaj Gaikwad,92,50,4,9,184,out, 5/ 151,17.1,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,MM Ali,Moeen Ali,23,17,4,1,135.29,out, 2/ 50,5.5,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,BA Stokes,Ben Stokes,7,6,1,0,116.66,out, 3/ 70,7.4,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,AT Rayudu,Ambati Rayudu,12,12,0,1,100,out, 4/ 121,12.5,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,S Dube,Shivam Dube,19,18,0,1,105.55,out, 7/ 163,18.3,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,RA Jadeja,Ravindra Jadeja,1,2,0,0,50,out, 6/ 153,17.4,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,MS Dhoni,MS Dhoni,14,7,1,1,200,notout,,,Captain
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,CSK,1,MJ Santner,Mitchell Santner,1,3,0,0,33.33,notout,,,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,WP Saha,Wriddhiman Saha,25,16,2,2,156.25,out, 1/ 37,3.5,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,Shubman Gill,Shubman Gill,63,36,6,3,175,out, 4/ 138,14.6,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,B Sai Sudharsan,Sai Sudharsan,22,17,3,0,129.41,out, 2/ 90,9.3,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,HH Pandya,Hardik Pandya,8,11,0,0,72.72,out, 3/ 111,12.1,Captain
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,V Shankar,Vijay Shankar,27,21,2,1,128.57,out, 5/ 156,17.6,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,R Tewatia,Rahul Tewatia,15,14,1,1,107.14,notout,,,Player
2023,1359475,GT v CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,GT,2,Rashid Khan,Rashid Khan,10,3,1,1,333.33,notout,,,Player
