season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,home_key_batsman,home_key_bowler,away_key_batsman,away_key_bowler
2023,1359475,Gujarat Titans v Chennai Super Kings,GT v CSK,"1st Match (N), Indian Premier League at Ahmedabad, Mar 31 2023",GT,CSK,GT,BOWL FIRST,178/7,182/5,182/5,178/7,GT,Titans won by 5 wkts (4b rem),2023-03-31T14:00Z,2023-04-01T23:59Z,57851,"Narendra Modi Stadium, Motera, Ahmedabad",Hardik Pandya,MS Dhoni,Rashid Khan,"Gujarat Titans 2, Chennai Super Kings 0",FALSE,19.2,182,5,23,20,178,7,23,"Shubman Gill,Vijay Shankar","Rashid Khan,Mohammed Shami","Ruturaj Gaikwad,Moeen Ali","Rajvardhan Hangargekar,Ravindra Jadeja"
2023,1359476,Punjab Kings v Kolkata Knight Riders,PBKS v KKR,"2nd Match (D/N), Indian Premier League at Chandigarh, Apr 1 2023",PBKS,KKR,KKR,BOWL FIRST,191/5,146/7,191/5,146/7,PBKS,Punjab Kings won by 7 runs (DLS),2023-04-01T10:00Z,2023-04-02T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Shikhar Dhawan,Nitish Rana,Arshdeep Singh,"Punjab Kings 2, Kolkata Knight Riders 0",FALSE,20,191,5,26,16,146,7,20,"Bhanuka Rajapaksa,Shikhar Dhawan","Arshdeep Singh,Rahul Chahar","Andre Russell,Venkatesh Iyer","Tim Southee,Varun Chakravarthy"
2023,1359477,Lucknow Super Giants v Delhi Capitals,LSG v DC,"3rd Match (N), Indian Premier League at Lucknow, Apr 1 2023",LSG,DC,DC,BOWL FIRST,193/6,143/9,193/6,143/9,LSG,Super Giants won by 50 runs,2023-04-01T14:00Z,2023-04-02T23:59Z,1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KL Rahul,David Warner,Mark Wood,"Lucknow Super Giants 2, Delhi Capitals 0",FALSE,20,193,6,21,20,143,9,17,"Kyle Mayers,Nicholas Pooran","Mark Wood,Avesh Khan","David Warner,Rilee Rossouw","Khaleel Ahmed,Chetan Sakariya"
2023,1359478,Sunrisers Hyderabad v Rajasthan Royals,SRH v RR,"4th Match (D/N), Indian Premier League at Hyderabad, Apr 2 2023",SRH,RR,SRH,BOWL FIRST,203/5,131/8,131/8,203/5,RR,Royals won by 72 runs,2023-04-02T10:00Z,2023-04-03T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Bhuvneshwar Kumar,Sanju Samson,Jos Buttler,"Rajasthan Royals 2, Sunrisers Hyderabad 0",FALSE,20,131,8,13,20,203,5,29,"Abdul Samad,Mayank Agarwal","T Natarajan,Fazalhaq Farooqi","Sanju Samson,Yashasvi Jaiswal","Yuzvendra Chahal,Trent Boult"
2023,1359479,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,"5th Match (N), Indian Premier League at Bengaluru, Apr 2 2023",RCB,MI,RCB,BOWL FIRST,171/7,172/2,172/2,171/7,RCB,RCB won by 8 wkts (22b rem),2023-04-02T14:00Z,2023-04-03T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Faf du Plessis,Rohit Sharma,Faf du Plessis,"Royal Challengers Bangalore 2, Mumbai Indians 0",FALSE,16.2,172,2,24,20,171,7,22,"Virat Kohli,Faf du Plessis","Karn Sharma,Reece Topley","Tilak Varma,Nehal Wadhera","Arshad Khan,Cameron Green"
2023,1359480,Chennai Super Kings v Lucknow Super Giants,CSK v LSG,"6th Match (N), Indian Premier League at Chennai, Apr 3 2023",CSK,LSG,LSG,BOWL FIRST,217/7,205/7,217/7,205/7,CSK,Super Kings won by 12 runs,2023-04-03T14:00Z,2023-04-04T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,KL Rahul,Moeen Ali,"Chennai Super Kings 2, Lucknow Super Giants 0",FALSE,20,217,7,28,20,205,7,22,"Ruturaj Gaikwad,Devon Conway","Moeen Ali,Tushar Deshpande","Kyle Mayers,Nicholas Pooran","Ravi Bishnoi,Mark Wood"
2023,1359481,Delhi Capitals v Gujarat Titans,DC v GT,"7th Match (N), Indian Premier League at Delhi, Apr 4 2023",DC,GT,GT,BOWL FIRST,162/8,163/4,162/8,163/4,GT,Titans won by 6 wkts (11b rem),2023-04-04T14:00Z,2023-04-05T23:59Z,58040,"Arun Jaitley Stadium, Delhi",David Warner,Hardik Pandya,Sai Sudharsan,"Gujarat Titans 2, Delhi Capitals 0",FALSE,20,162,8,20,18.1,163,4,20,"David Warner,Axar Patel","Anrich Nortje,Mitchell Marsh","Sai Sudharsan,David Miller","Rashid Khan,Mohammed Shami"
2023,1359482,Rajasthan Royals v Punjab Kings,RR v PBKS,"8th Match (N), Indian Premier League at Guwahati, Apr 5 2023",RR,PBKS,RR,BOWL FIRST,197/4,192/7,192/7,197/4,PBKS,Punjab Kings won by 5 runs,2023-04-05T14:00Z,2023-04-06T23:59Z,680295,"Barsapara Cricket Stadium, Guwahati",Sanju Samson,Shikhar Dhawan,Nathan Ellis,"Punjab Kings 2, Rajasthan Royals 0",FALSE,20,192,7,23,20,197,4,26,"Sanju Samson,Shimron Hetmyer","Jason Holder,Ravichandran Ashwin","Shikhar Dhawan,Prabhsimran Singh","Nathan Ellis,Arshdeep Singh"
2023,1359483,Kolkata Knight Riders v Royal Challengers Bangalore,KKR v RCB,"9th Match (N), Indian Premier League at Kolkata, Apr 6 2023",KKR,RCB,RCB,BOWL FIRST,204/7,123,204/7,123,KKR,KKR won by 81 runs,2023-04-06T14:00Z,2023-04-07T23:59Z,57980,"Eden Gardens, Kolkata",Nitish Rana,Faf du Plessis,Shardul Thakur,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",FALSE,20,204,7,27,17.4,123,10,16,"Shardul Thakur,Rahmanullah Gurbaz","Varun Chakravarthy,Suyash Sharma","Faf du Plessis,Virat Kohli","David Willey,Karn Sharma"
2023,1359484,Lucknow Super Giants v Sunrisers Hyderabad,LSG v SRH,"10th Match (N), Indian Premier League at Lucknow, Apr 7 2023",LSG,SRH,SRH,BAT FIRST,121/8,127/5,127/5,121/8,LSG,Super Giants won by 5 wkts (24b rem),2023-04-07T14:00Z,2023-04-08T23:59Z,1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KL Rahul,Aiden Markram,Krunal Pandya,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",FALSE,16,127,5,16,20,121,8,13,"KL Rahul,Krunal Pandya","Krunal Pandya,Amit Mishra","Rahul Tripathi,Anmolpreet Singh","Adil Rashid,Fazalhaq Farooqi"
